EXP, timestamp,flowid, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1,1638795469,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 25 ,0 ,30 ,0 ,98 
1,1638795469,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 24 ,0 ,348 ,0 ,98 
1,1638795469,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 24 ,0 ,23 ,0 ,134 
1,1638795469,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 26 ,0 ,248 ,0 ,134 
1,1638795469,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 26 ,0 ,186 ,0 ,98 
1,1638795469,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 25 ,0 ,712 ,0 ,98 
1,1638795469,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 25 ,0 ,32 ,0 ,134 
1,1638795469,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 27 ,0 ,245 ,0 ,134 
1,1638795469,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 27 ,0 ,31 ,0 ,98 
1,1638795469,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 26 ,0 ,155 ,0 ,98 
1,1638795469,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 26 ,0 ,30 ,0 ,134 
1,1638795469,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 28 ,0 ,151 ,0 ,134 
1,1638795469,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 28 ,0 ,22 ,0 ,98 
1,1638795469,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 27 ,0 ,236 ,0 ,98 
1,1638795469,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 27 ,0 ,25 ,0 ,134 
1,1638795469,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 29 ,0 ,262 ,0 ,134 
1,1638795469,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 29 ,0 ,101 ,0 ,98 
1,1638795469,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 28 ,0 ,250 ,0 ,98 
1,1638795469,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 28 ,0 ,31 ,0 ,134 
1,1638795470,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 30 ,0 ,177 ,0 ,134 
1,1638795470,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 30 ,0 ,74 ,0 ,98 
1,1638795470,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 29 ,0 ,206 ,0 ,98 
1,1638795470,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 29 ,0 ,215 ,0 ,134 
1,1638795470,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 31 ,0 ,142 ,0 ,134 
1,1638795470,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 31 ,0 ,28 ,0 ,98 
1,1638795470,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 30 ,0 ,225 ,0 ,98 
1,1638795470,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 30 ,0 ,182 ,0 ,134 
1,1638795470,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 32 ,0 ,181 ,0 ,134 
1,1638795470,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 32 ,0 ,29 ,0 ,98 
1,1638795470,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 31 ,0 ,379 ,0 ,98 
1,1638795470,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 31 ,0 ,213 ,0 ,134 
1,1638795470,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 33 ,0 ,21 ,0 ,98 
1,1638795470,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 33 ,0 ,165 ,0 ,134 
1,1638795470,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 32 ,0 ,162 ,0 ,98 
1,1638795470,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 32 ,0 ,419 ,0 ,134 
1,1638795470,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 34 ,0 ,151 ,0 ,134 
1,1638795470,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 34 ,0 ,23 ,0 ,98 
1,1638795470,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 33 ,0 ,273 ,0 ,98 
1,1638795470,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 33 ,0 ,225 ,0 ,134 
1,1638795471,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 35 ,0 ,178 ,0 ,134 
